Wall time,Step,Value
1763988414.9499893,16384,0.4350000023841858
1763988930.9285407,32768,1.4524999856948853
1763989428.3833127,49152,1.9450000524520874
1763989836.7436426,65536,1.752500057220459
1763990189.0102286,81920,1.5512499809265137
1763990521.9211144,98304,1.8337500095367432
1763990837.4599867,114688,1.7137500047683716
1763991144.9918883,131072,1.3537499904632568
1763991444.1821797,147456,1.100000023841858
1763991740.901852,163840,1.097499966621399
1763992022.6711283,180224,0.9449999928474426
1763992317.6661658,196608,0.7712500095367432
1763992603.5328572,212992,0.7087500095367432
1763992887.5250032,229376,0.6924999952316284
1763993168.1652172,245760,0.6387500166893005
1763993441.400528,262144,0.5074999928474426
1763993730.1114337,278528,0.5099999904632568
1763994012.8301733,294912,0.48750001192092896
1763994289.6948328,311296,0.4325000047683716
1763994561.294104,327680,0.44999998807907104
1763994836.9921606,344064,0.44874998927116394
1763995117.5632415,360448,0.4375
1763995404.3738747,376832,0.42124998569488525
1763995668.5600135,393216,0.4424999952316284
1763995941.6463046,409600,0.3987500071525574
1763996213.1604476,425984,0.39500001072883606
1763996492.4270072,442368,0.4025000035762787
1763996765.1787195,458752,0.4124999940395355
1763997037.819279,475136,0.39625000953674316
1763997311.2429748,491520,0.4112499952316284
1763997580.6974545,507904,0.4012500047683716
1763997855.6854231,524288,0.4350000023841858
1763998127.970087,540672,0.42625001072883606
1763998397.36936,557056,0.39375001192092896
1763998669.0991542,573440,0.4037500023841858
1763998937.9969113,589824,0.4325000047683716
1763999210.4564247,606208,0.42375001311302185
1763999504.314643,622592,0.4099999964237213
1763999773.0206738,638976,0.3987500071525574
1764000030.93206,655360,0.4399999976158142
1764000297.7851036,671744,0.3799999952316284
1764000562.455347,688128,0.3987500071525574
1764000824.3677733,704512,0.4000000059604645
1764001094.4121594,720896,0.39500001072883606
1764001359.0111408,737280,0.3799999952316284
1764001619.6502962,753664,0.39500001072883606
1764001880.7740111,770048,0.36375001072883606
1764002145.6626346,786432,0.38749998807907104
1764002421.712166,802816,0.3774999976158142
1764002694.1874337,819200,0.35624998807907104
1764002961.0365257,835584,0.3474999964237213
1764003225.3878136,851968,0.35249999165534973
1764003487.3972938,868352,0.3462499976158142
1764003755.3552723,884736,0.3449999988079071
1764004020.2344923,901120,0.36125001311302185
1764004285.7116733,917504,0.36125001311302185
1764004548.8792834,933888,0.36625000834465027
1764004804.0541358,950272,0.3737500011920929
1764005063.6002786,966656,0.3737500011920929
1764005329.822902,983040,0.3400000035762787
1764005589.6455514,999424,0.36000001430511475
1764005872.002398,1015808,0.36000001430511475
1764006141.5951746,1032192,0.36625000834465027
