Wall time,Step,Value
1763988414.9500408,16384,-18.62542724609375
1763988930.9285903,32768,-113.0396499633789
1763989428.3833625,49152,-134.88223266601562
1763989836.743692,65536,-108.38121032714844
1763990189.0102918,81920,-101.04339599609375
1763990521.9211707,98304,-89.2491226196289
1763990837.4600456,114688,-79.60411071777344
1763991144.9919388,131072,-52.12357711791992
1763991444.1822271,147456,-36.07378005981445
1763991740.9019058,163840,-30.920246124267578
1763992022.6711853,180224,-17.844398498535156
1763992317.6662169,196608,-9.119349479675293
1763992603.53291,212992,-7.861003398895264
1763992887.5250564,229376,-6.386950492858887
1763993168.165272,245760,-2.0873911380767822
1763993441.4005754,262144,-0.11174329370260239
1763993730.1114852,278528,2.385612964630127
1763994012.8302205,294912,2.899766683578491
1763994289.6948898,311296,3.2794957160949707
1763994561.294153,327680,3.596421241760254
1763994836.9922135,344064,3.997453451156616
1763995117.5633018,360448,4.577155113220215
1763995404.373922,376832,4.565756320953369
1763995668.560066,393216,4.691117763519287
1763995941.6463556,409600,4.533135890960693
1763996213.1605084,425984,4.664635181427002
1763996492.4270623,442368,4.8338775634765625
1763996765.178776,458752,4.8383965492248535
1763997037.8193417,475136,4.944108009338379
1763997311.2430298,491520,4.876346111297607
1763997580.697511,507904,4.607517242431641
1763997855.6854799,524288,4.629003524780273
1763998127.9701397,540672,4.794803142547607
1763998397.3694165,557056,4.737808704376221
1763998669.099213,573440,4.961314678192139
1763998937.996964,589824,5.081068992614746
1763999210.456475,606208,4.87124490737915
1763999504.314691,622592,5.013384819030762
1763999773.0207224,638976,4.999047756195068
1764000030.9321127,655360,4.950142860412598
1764000297.7851572,671744,4.764511585235596
1764000562.4553964,688128,4.869819164276123
1764000824.3678207,704512,4.820061683654785
1764001094.412217,720896,4.808596611022949
1764001359.0111988,737280,4.836946964263916
1764001619.6503432,753664,4.794843673706055
1764001880.77406,770048,4.914000511169434
1764002145.6626818,786432,4.654454231262207
1764002421.7122164,802816,4.701140880584717
1764002694.1874812,819200,4.693715572357178
1764002961.0365746,835584,4.590236663818359
1764003225.3878639,851968,4.676551818847656
1764003487.3973424,868352,4.6636247634887695
1764003755.3553262,884736,4.669732570648193
1764004020.234551,901120,4.762505054473877
1764004285.7117243,917504,4.822721004486084
1764004548.87934,933888,4.876409530639648
1764004804.0541904,950272,4.760289192199707
1764005063.6003342,966656,4.818795204162598
1764005329.8229475,983040,4.727320671081543
1764005589.6456075,999424,4.623937606811523
1764005872.0024514,1015808,4.724055767059326
1764006141.5952203,1032192,4.730342388153076
