,Gamma,Sum rate,Min rate BS0,Min rate BS1,Mean rate BS0,Mean rate BS1,Jain's index,Cost BS0,Costs BS1,#RISs allocated BS0,#RIS allocated BS1
0.0,0.0000,5.1677,0.0748,0.4169,0.3836,0.9776,0.8562,0.1123,0.0785,2.0250,1.3650
0.2,0.2000,5.2345,0.0938,0.3388,0.4172,0.8911,0.8948,0.1773,0.0660,2.7900,1.1450
0.4,0.4000,5.2161,0.1069,0.2817,0.4316,0.8347,0.9115,0.2038,0.0550,3.2400,0.9750
0.6,0.6000,5.1643,0.1130,0.2292,0.4389,0.7801,0.9264,0.2268,0.0565,3.5850,0.8400
0.8,0.8000,5.1207,0.1194,0.2118,0.4442,0.7394,0.9364,0.2443,0.0467,3.9450,0.7350
1.0,1.0000,5.1385,0.1227,0.2071,0.4465,0.7333,0.9387,0.2568,0.0475,4.2550,0.7300
1.5,1.5000,5.1125,0.1312,0.1962,0.4524,0.7039,0.9463,0.2848,0.0442,4.8500,0.6600
2.0,2.0000,5.1189,0.1365,0.1988,0.4566,0.6975,0.9490,0.3195,0.0415,5.5250,0.6300
3.0,3.0000,5.1667,0.1397,0.1966,0.4593,0.6979,0.9496,0.3600,0.0487,6.4500,0.6800
5.0,5.0000,5.1813,0.1439,0.1949,0.4605,0.6972,0.9498,0.3967,0.0575,7.3050,0.7600
