,Gamma,Sum rate,Min rate BS0,Min rate BS1,Mean rate BS0,Mean rate BS1,Jain's index,Cost BS0,Costs BS1,#RISs allocated BS0,#RIS allocated BS1
0.0,0.0000,5.5775,0.0962,0.4725,0.4098,1.0521,0.8531,0.2340,0.1893,3.0850,1.9950
0.2,0.2000,5.6213,0.1200,0.3865,0.4438,0.9641,0.8902,0.3633,0.1483,3.9550,1.6550
0.4,0.4000,5.5486,0.1270,0.3267,0.4506,0.8986,0.9048,0.3928,0.1340,4.2900,1.4700
0.6,0.6000,5.5121,0.1354,0.2889,0.4575,0.8574,0.9164,0.4270,0.1230,4.6550,1.3400
0.8,0.8000,5.4956,0.1380,0.2733,0.4570,0.8522,0.9170,0.4252,0.1165,4.8850,1.2350
1.0,1.0000,5.4682,0.1397,0.2589,0.4587,0.8345,0.9215,0.4378,0.1115,5.1650,1.1750
1.5,1.5000,5.4095,0.1436,0.2333,0.4642,0.7913,0.9332,0.4720,0.0983,5.8500,1.0250
2.0,2.0000,5.3436,0.1505,0.2185,0.4660,0.7543,0.9414,0.5003,0.0945,6.4550,0.9650
3.0,3.0000,5.2885,0.1545,0.2138,0.4681,0.7217,0.9493,0.5235,0.0900,7.2050,0.9200
5.0,5.0000,5.2876,0.1561,0.2127,0.4695,0.7159,0.9509,0.5482,0.0940,7.9000,0.9600
